"idnum","p4b23","k5e2a","f1h2","f1e3","m1e4b","f1g7","m1a13","m1g2","m1g3","m1g4","f1f2","m1f5","f1c2f","m1a7","m1b18","m2g6c","f2k6","m2k14","m2d3a","m2g4c","m2g13","f2h8a2","f2h10","m2h8e","m2h8b","m2h19b","m2h19i","m2j16","f2h19","m4d3","m4i7b","p4b15","p4l3","p4l5","p4l11","p4l19","p4l22","p4l28","p4l32","p4l43","m4h1g","m4i0g","m4h4","m4i0p","f4i8a1","f4j24a","p4a22","f4a2","f4i0n1","p4b9","p4b21_1","p4c8","p4h1"
"0026",11,"0","2","1","2","1","1","5","5","4","2","2","1","1","1","2","1","1","2","2","5","2","2","1","2","2","2","2","2","2","2","1","1","0","2","1","1","0","1","1","3","2","2","1","2","2","0","1","3","0","1","4","0"
"0027",10,"0","1","1","1","2","1","5","5","4","2","1","1","1","1","1","2","2","1","1","1","2","2","1","1","2","2","2","1","1","2","1","2","0","1","0","1","0","1","1","1","1","1","1","2","1","1","1","2","0","0","4","0"
"0028",11,"0","1","1","1","1","1","4","5","3","2","1","1","1","1","1","1","1","1","3","3","2","2","1","2","2","1","2","2","1","2","1","1","0","1","0","0","1","0","1","1","2","1","2","2","2","1","2","1","0","0","2","0"
"0029",10,"1","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","2","0","0","1","1","1","1","2","2","0","1","2","1","0","4","0"
"0030",10,"0","1","3","1","1","1","5","5","4","1","2","1","1","1","1","2","1","1","3","1","2","2","1","1","2","1","2","2","1","2","0","2","1","1","1","0","0","0","1","1","2","1","2","2","2","1","2","1","1","1","4","4"
"0031",11,"0","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","0","2","0","1","0","0","0","1","0","1","2","1","2","2","2","0","4","1","0","0","4","0"
"0032",7,"1","1","1","1","1","1","5","5","4","2","2","1","1","1","2","2","2","1","3","1","2","2","1","2","2","2","2","2","1","2","0","2","0","2","0","0","0","0","1","1","1","1","2","2","2","0","2","1","0","0","4","0"
"0033",8,"0","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","3","2","1","1","4","0"
"0034",9,"0","2","1","2","1","1","5","5","4","2","3","1","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","1","0","2","2","2","1","2","2","1","1","1","0","0","3","0"
"0035",11,"0","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","2","2","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","1","2","2","0","1","3","1","0","4","0"
"0036",11,"0","1","3","1","1","1","5","5","3","2","2","1","2","1","1","2","2","1","201","1","2","1","1","1","2","1","2","1","2","2","0","2","1","2","1","0","1","0","1","1","1","1","2","2","2","0","7","1","0","0","4","0"
"0037",9,"4","1","3","1","2","1","5","5","4","2","1","1","2","1","1","2","2","1","4","1","1","2","1","2","2","1","2","1","1","1","1","2","0","2","1","1","2","0","2","1","2","1","2","2","2","0","4","2","1","0","4","2"
"0038",9,"0","1","2","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","1","2","1","1","1","1","0","2","0","0","0","0","1","2","1","1","2","2","2","0","1","2","1","0","4","0"
"0039",9,"2","1","3","1","1","2","5","5","4","2","2","1","2","1","1","2","2","1","2","1","2","1","1","2","2","2","2","1","1","2","1","2","0","1","0","0","0","1","0","1","2","1","2","2","2","0","1","1","1","1","4","2"
"0040",13,"0","1","3","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","6","1","2","2","2","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","1","1","2","2","2","2","0","4","2","0","0","4","0"
"0041",10,"0","1","3","1","2","1","5","5","4","1","2","1","1","1","2","2","2","1","2","2","2","2","1","2","2","2","1","2","1","1","1","2","1","1","1","0","0","0","1","3","2","1","1","2","2","0","3","4","1","0","4","0"
"0042",9,"0","1","4","1","1","1","5","5","4","1","2","1","1","1","1","2","1","2","6","1","2","2","1","2","2","2","1","2","1","2","0","2","0","2","1","0","0","0","1","1","2","1","2","2","2","1","1","1","1","0","4","0"
"0043",7,"4","1","3","1","1","1","4","5","4","2","2","1","2","1","1","2","1","1","1","1","2","2","1","2","2","2","2","1","1","2","0","2","0","2","0","0","0","0","0","1","1","1","1","2","2","1","1","2","1","0","4","0"
"0044",8,"0","1","1","1","2","2","5","5","4","1","1","1","1","1","1","2","2","1","3","2","2","2","1","2","2","2","2","2","1","2","1","1","0","1","0","0","0","0","0","1","1","1","1","2","2","1","1","1","1","0","4","3"
"0045",10,"2","1","2","1","1","1","5","5","4","1","1","1","2","1","1","2","2","1","4","1","2","2","1","1","2","2","2","2","1","2","1","2","0","2","0","0","0","1","0","4","2","1","2","2","2","0","3","2","0","0","4","0"
"0046",8,"1","1","2","1","2","1","5","5","3","2","3","1","2","1","1","2","2","1","4","1","2","2","1","2","2","1","2","2","1","2","1","2","0","1","0","1","0","1","0","2","2","1","1","1","2","1","1","2","0","0","4","1"
"0047",8,"2","1","2","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","3","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","3","1","1","2","2","2","0","1","1","1","0","4","1"
"0048",11,"1","1","3","1","2","1","5","3","3","1","2","1","1","1","1","2","2","1","3","1","2","2","1","2","2","2","2","1","1","2","1","1","1","2","0","0","0","2","1","4","1","1","1","2","2","1","1","1","0","0","4","0"
"0049",9,"2","1","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","201","4","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","1","2","1","1","2","2","1","1","2","1","0","4","3"
"0050",7,"3","1","2","1","1","1","5","5","4","1","1","1","1","1","1","1","2","1","2","2","2","2","2","2","2","1","2","1","1","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","2","4","1","1","4","0"
"0051",9,"0","1","1","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","2","1","1","1","1","0","0","0","0","0","1","1","1","2","2","2","0","1","1","1","0","4","0"
"0052",9,"3","1","3","1","1","1","5","5","4","1","2","1","2","1","1","2","1","1","2","5","2","2","1","1","2","1","1","1","1","2","1","2","0","2","0","0","0","0","0","1","2","1","2","2","2","0","2","2","1","1","4","0"
"0053",9,"0","1","3","1","1","1","5","5","4","1","2","1","2","1","1","1","2","1","4","3","2","2","1","2","2","1","2","2","1","2","1","2","0","1","0","0","0","0","0","3","2","2","2","2","2","0","2","2","1","1","3","0"
"0054",11,"0","1","1","1","1","1","5","5","4","1","1","1","1","1","2","2","2","1","201","2","2","2","2","1","2","2","2","2","1","2","1","2","0","2","0","0","0","0","1","2","1","1","1","2","2","0","1","1","1","0","4","0"
"0055",11,"1","2","1","2","1","1","5","5","4","2","2","1","1","1","2","2","2","2","205","2","2","2","1","2","2","1","1","2","1","2","1","2","2","1","2","0","0","0","2","1","1","2","2","2","2","0","1","1","0","0","3","0"
"0056",11,"0","2","1","1","1","2","5","5","4","1","2","1","1","1","1","2","2","1","6","4","2","2","2","2","2","2","2","2","2","2","1","2","0","2","0","0","0","0","0","3","1","1","2","2","2","0","1","2","1","0","4","0"
"0057",7,"0","1","1","1","1","1","5","5","4","2","2","1","2","1","1","2","2","1","2","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","1","0","0","1","0","1","2","1","1","2","2","0","1","1","1","1","4","0"
"0058",10,"1","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","2","1","2","0","1","0","1","0","0","0","1","1","1","1","2","2","0","1","1","1","0","4","0"
"0059",11,"0","2","4","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","201","1","2","2","1","2","2","2","2","2","1","2","0","1","0","0","0","0","0","0","2","1","1","1","2","2","2","0","1","1","0","0","4","0"
"0060",11,"3","2","2","1","1","1","5","5","4","2","2","1","1","1","1","2","2","2","5","4","2","2","1","2","2","2","2","2","1","2","1","2","1","1","0","1","0","0","1","1","1","1","2","2","2","0","1","2","1","0","4","0"
"0061",10,"2","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","2","1","1","1","2","0","1","0","0","0","1","0","1","1","1","2","2","2","0","4","1","1","1","4","0"
"0062",9,"0","1","1","1","1","1","5","5","4","2","3","1","2","1","1","2","1","1","1","1","2","2","1","2","2","1","1","1","1","1","1","2","1","2","0","0","0","0","0","1","2","1","2","2","2","0","4","1","0","0","4","2"
"0063",10,"0","2","3","1","1","1","5","5","4","1","3","2","1","1","1","2","2","2","6","5","2","2","1","2","2","2","2","1","2","2","1","2","0","2","1","0","0","0","0","1","1","1","1","1","2","1","1","2","1","0","4","2"
"0064",8,"1","1","1","2","1","1","5","5","4","2","3","1","2","1","1","2","1","1","6","1","2","2","1","2","2","1","2","1","1","2","1","2","0","1","0","0","0","0","0","1","2","1","2","2","2","1","4","3","1","0","4","0"
"0065",9,"0","1","3","1","1","1","5","5","4","1","4","1","2","1","1","2","2","1","3","1","2","2","2","2","2","2","1","2","1","2","1","2","0","2","0","0","0","0","1","1","1","1","1","2","2","0","1","2","1","0","4","2"
"0066",11,"0","2","1","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","6","3","2","2","2","2","2","2","2","2","1","2","1","1","0","1","1","0","1","0","1","1","1","1","2","2","2","0","1","1","1","0","4","0"
"0067",9,"0","1","3","1","2","1","5","5","4","2","1","1","1","1","1","2","1","1","3","1","2","1","1","2","2","1","2","2","1","2","0","1","0","2","0","1","0","1","1","2","2","1","2","2","2","1","1","4","1","0","4","2"
"0068",10,"1","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","2","4","1","1","2","1","2","2","2","2","1","2","2","1","2","0","2","0","0","0","1","0","1","1","1","2","2","1","1","1","2","0","0","4","2"
"0069",9,"3","1","1","1","1","1","5","5","4","2","2","1","1","1","1","1","2","2","202","5","2","2","2","2","2","1","2","1","2","2","1","2","0","2","2","1","0","0","2","1","2","1","1","2","2","0","1","2","1","1","4","0"
"0070",11,"1","2","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","3","3","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","1","1","0","3","1","1","1","2","2","1","4","2","1","1","4","0"
"0071",7,"1","1","2","1","1","1","5","5","2","2","1","1","2","2","1","2","2","2","4","1","2","2","2","2","2","1","2","2","1","1","1","2","1","2","0","0","2","0","2","2","2","1","1","2","2","1","1","1","1","0","3","0"
"0072",9,"1","1","3","1","1","1","5","5","4","2","2","2","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","1","1","2","1","2","0","1","0","0","1","0","2","1","2","1","2","2","2","1","4","3","1","0","4","4"
"0073",11,"0","1","3","1","2","1","5","5","4","1","3","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","2","1","2","0","2","0","0","0","1","0","1","2","1","2","1","2","0","1","2","0","0","2","0"
"0074",10,"0","1","4","1","1","1","5","5","4","2","1","1","1","1","1","2","2","1","1","3","2","2","1","2","2","2","1","2","1","2","1","2","0","2","0","0","0","1","0","1","1","1","1","2","2","0","1","1","1","1","4","0"
"0075",9,"4","1","2","1","1","1","5","5","4","1","2","3","1","1","1","2","2","1","3","1","2","2","1","2","2","1","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","2","2","2","1","4","1","1","0","4","0"
"0076",9,"0","2","2","2","1","1","5","5","4","2","3","1","1","1","1","2","2","1","202","4","2","2","1","2","2","2","2","2","1","2","1","1","0","0","0","0","0","0","0","2","1","1","2","2","2","0","1","2","1","0","3","0"
"0077",7,"0","1","3","1","2","1","5","5","4","2","2","1","1","1","1","2","1","1","2","1","2","2","1","2","2","2","1","1","1","1","0","1","0","1","0","0","0","1","0","1","2","1","2","2","2","1","4","2","0","1","3","0"
"0078",7,"0","1","1","1","1","1","5","5","4","2","2","1","2","2","1","2","2","1","2","2","2","1","1","2","2","1","2","2","1","2","0","2","1","0","1","1","2","2","1","1","2","1","2","2","2","0","2","1","0","0","4","0"
"0079",9,"0","2","3","2","1","1","5","5","4","1","3","2","1","1","2","2","2","1","203","5","2","2","2","2","2","2","1","2","1","2","1","2","0","1","1","1","0","1","2","1","1","1","2","2","2","0","1","2","1","1","2","0"
"0080",9,"4","1","1","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","1","4","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","0","1","1","1","1","2","1","0","1","2","0","1","4","0"
"0081",11,"0","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","4","2","2","2","1","2","2","1","2","1","1","2","0","1","0","1","0","1","0","0","0","1","2","1","2","2","2","0","4","1","0","0","4","2"
"0082",7,"0","1","1","1","1","1","5","5","3","1","1","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","1","1","2","1","1","0","1","0","0","0","1","0","2","1","1","2","2","2","0","1","2","1","1","4","0"
"0083",11,"3","1","3","1","1","1","5","5","4","2","1","1","2","1","1","2","2","1","2","1","2","2","1","2","2","2","2","1","1","1","1","2","0","2","0","0","0","0","0","1","2","1","1","2","2","1","4","1","1","1","4","0"
"0084",9,"1","1","3","1","2","1","4","4","3","2","3","1","2","1","2","2","2","1","4","1","2","2","1","1","2","2","2","2","1","2","1","2","1","1","0","0","0","0","0","1","1","2","1","1","2","1","3","2","0","0","3","0"
"0085",11,"1","2","3","1","1","1","5","5","4","1","3","1","1","1","1","2","2","1","1","3","2","2","2","2","2","2","2","2","1","2","0","1","0","2","0","0","0","1","0","2","1","1","1","2","2","0","3","2","1","1","4","3"
"0086",6,"1","1","2","1","2","2","5","2","3","1","3","1","2","1","1","2","2","1","4","1","2","2","1","1","2","2","2","1","1","2","1","2","0","1","1","0","0","0","1","1","2","1","2","1","2","1","1","2","1","1","3","0"
"0087",9,"3","1","4","1","1","1","4","4","3","2","1","1","2","1","1","2","2","1","4","1","2","2","1","2","2","2","2","1","1","2","0","2","0","2","0","0","0","0","0","1","2","1","2","2","2","1","1","2","0","0","4","0"
"0088",9,"0","2","3","1","2","1","5","5","4","2","3","1","1","1","1","2","1","2","204","5","2","2","1","1","2","2","2","2","2","1","1","2","0","2","1","0","2","0","0","1","1","1","2","2","1","0","1","3","0","0","3","1"
"0089",11,"0","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","2","3","1","2","2","1","2","2","1","2","1","2","2","1","2","0","2","0","1","0","0","1","3","1","1","2","2","2","1","4","2","0","1","4","1"
"0090",9,"1","1","3","1","1","1","5","5","4","2","1","1","1","1","1","2","1","1","3","1","2","2","1","2","2","2","2","2","1","2","1","2","0","1","0","0","0","0","0","3","1","1","2","2","2","1","1","3","1","1","4","0"
"0091",7,"0","1","3","1","1","1","5","1","2","2","1","1","1","1","1","2","2","2","6","1","1","1","1","2","2","2","2","2","1","2","1","1","1","2","0","0","1","1","2","1","2","1","2","2","1","1","3","1","0","1","2","0"
"0092",11,"1","2","2","1","1","1","5","5","4","1","3","1","1","1","1","2","2","2","203","5","2","2","1","2","2","2","2","2","2","2","0","1","2","2","0","0","0","0","0","1","1","2","2","2","2","0","1","3","0","0","2","0"
"0093",10,"0","1","3","1","1","1","5","5","4","2","2","3","1","1","1","2","2","1","4","1","2","2","1","2","2","2","2","2","1","2","0","2","0","1","0","0","0","0","0","1","2","1","2","2","1","1","4","1","1","0","4","0"
"0094",8,"3","1","1","2","1","1","5","5","4","1","2","1","2","1","2","2","2","1","4","2","2","2","1","2","2","2","1","1","1","2","1","2","0","2","0","2","1","0","1","1","2","2","1","2","2","0","2","2","1","0","2","1"
"0095",10,"4","1","2","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","1","1","2","2","1","2","2","2","2","2","1","2","1","2","1","2","0","1","1","1","1","1","1","1","2","2","2","0","3","1","1","1","3","0"
"0096",11,"1","1","3","1","1","1","5","5","4","1","2","1","1","1","1","2","2","1","2","1","2","2","2","2","2","2","2","2","1","2","0","1","0","1","0","1","0","1","0","1","1","1","2","2","2","1","2","1","0","0","3","1"
"0097",8,"4","1","2","1","1","1","5","5","4","1","1","1","2","1","1","2","2","1","4","1","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","1","1","2","1","1","2","2","0","3","1","0","0","2","0"
"0098",7,"0","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","6","1","2","2","1","2","2","2","2","1","1","2","0","2","0","1","0","0","0","2","1","1","1","1","2","2","2","0","1","3","1","1","4","1"
"0099",9,"1","1","4","2","2","1","5","5","4","1","3","1","1","1","1","2","1","2","4","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","2","0","1","2","1","2","2","2","1","1","1","0","1","2","2"
"0100",7,"0","1","2","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","2","1","2","0","2","1","1","1","1","2","3","1","1","2","2","2","0","1","2","1","1","4","0"
"0101",11,"4","1","2","1","2","1","5","5","4","1","2","1","1","1","2","2","2","2","203","5","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","1","0","1","1","1","1","1","2","2","2","0","3","2","1","0","3","1"
"0102",11,"4","1","3","1","2","1","5","5","4","2","1","1","1","1","1","2","1","2","3","3","1","2","1","2","2","2","2","1","1","2","1","2","1","2","1","1","0","0","2","1","2","1","2","2","2","1","2","2","0","0","4","2"
"0103",11,"0","1","2","1","1","1","4","5","4","2","2","1","1","1","2","2","2","1","6","5","2","2","1","2","2","2","2","2","1","1","1","2","1","1","2","1","1","0","1","1","2","2","2","2","2","0","2","1","1","0","4","0"
"0104",9,"3","1","3","2","2","1","5","5","3","2","2","1","1","1","1","2","2","1","3","2","2","2","1","2","2","1","1","1","1","2","0","2","0","2","0","0","0","0","0","1","1","1","2","2","1","0","3","1","0","0","4","0"
"0105",10,"0","1","2","1","1","1","5","5","4","2","2","1","2","1","1","2","2","1","2","2","2","2","1","2","2","2","2","2","1","2","0","2","0","0","0","1","0","0","0","4","2","1","2","2","2","1","3","3","0","0","4","0"
"0106",9,"0","2","2","1","2","1","5","5","4","2","2","1","1","1","1","1","2","1","3","3","2","2","2","2","2","2","2","2","1","2","0","2","0","2","0","0","0","1","2","1","1","1","2","2","2","0","1","2","1","1","4","0"
"0107",11,"0","1","2","1","1","1","5","4","3","1","2","1","2","1","1","2","2","1","203","5","2","2","1","1","2","2","1","1","1","1","0","1","0","1","0","0","0","0","0","1","2","2","2","2","2","0","1","2","0","0","3","4"
"0108",11,"0","1","2","1","1","1","5","5","4","1","1","1","1","2","1","2","2","1","6","1","2","2","2","2","2","1","2","2","1","2","1","2","0","1","1","0","0","1","0","1","1","1","2","2","2","1","1","2","1","1","4","0"
"0109",8,"0","1","2","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","1","1","2","1","2","0","1","0","1","2","0","1","1","1","1","2","2","2","0","3","2","0","0","3","2"
"0110",10,"4","1","4","1","1","1","5","5","3","2","4","1","1","1","1","2","2","2","2","1","2","2","1","2","2","1","2","2","2","2","1","2","1","2","0","1","1","0","0","4","1","1","2","2","2","1","3","2","0","1","2","1"
"0111",11,"1","2","2","1","1","1","5","5","4","2","2","2","2","2","1","2","2","1","4","1","2","2","2","2","2","2","2","2","1","2","1","2","2","2","0","0","0","2","1","1","1","2","2","2","2","1","1","1","1","0","4","1"
"0112",9,"2","1","3","1","1","1","5","5","4","2","2","1","1","1","1","2","1","1","202","1","2","2","2","2","2","1","1","1","1","1","1","2","1","2","0","1","1","0","1","1","2","1","1","2","2","0","4","1","0","0","3","0"
"0113",11,"0","1","3","1","1","1","5","5","4","1","1","1","1","1","1","2","2","1","2","1","2","2","1","2","2","2","2","1","1","2","1","2","0","2","0","0","0","0","0","1","2","1","1","2","2","0","4","2","1","1","4","3"
"0114",10,"0","1","3","1","1","1","5","5","4","1","2","1","1","1","2","2","2","1","4","1","2","2","1","1","2","2","2","2","1","2","0","2","0","2","0","0","0","1","0","1","2","1","1","2","2","0","4","4","0","0","4","0"
"0115",8,"0","1","2","1","1","1","5","5","4","2","2","1","1","1","2","2","2","1","3","3","2","2","1","2","2","2","2","2","1","2","1","2","0","2","0","0","0","0","1","2","1","2","1","2","2","0","1","2","1","0","4","0"
"0116",9,"0","1","1","1","1","1","5","5","4","2","2","1","1","1","1","2","2","1","5","1","2","1","1","1","2","1","2","2","1","2","0","2","1","1","0","0","0","0","0","1","2","1","2","2","2","0","1","1","1","0","3","1"
"0117",10,"0","1","4","1","1","1","5","5","3","2","1","1","1","1","1","2","2","1","4","1","2","2","1","2","2","1","2","2","1","2","1","2","0","2","0","0","0","1","1","2","2","1","2","2","2","1","1","2","1","1","4","1"
"0118",7,"3","1","2","1","1","1","5","5","4","2","4","1","1","1","2","2","1","2","201","3","2","2","2","2","2","2","2","2","1","2","0","1","0","2","0","0","0","0","0","4","1","2","1","2","2","1","2","2","1","0","4","0"
"0119",8,"4","1","3","1","1","1","4","5","4","2","2","1","1","1","1","2","2","1","5","1","2","2","1","2","2","2","2","2","1","1","0","1","0","1","0","0","0","2","0","1","2","1","2","2","2","0","3","2","0","0","4","0"
